4DPL3,3Q3k/1p2rpp1/6p1/2p1b3/1q4P1/1P3N1P/5P2/6K1 b - - 1 31,h8h7 f3g5 h7h6 g5f7 e7f7 d8h4,2423,78,92,3394,clearance endgame long mate mateIn3 sacrifice,https://lichess.org/HntcpRkG/black#62,
4E1yu,8/1p3ppk/p7/5QKP/4r3/q2n4/2bB1PP1/8 b - - 4 37,g7g6 f5f7 h7h8 g5h6 a3e7 d2c3 d3e5 f7e7 a6a5 e7g7,2528,77,92,4185,endgame interference mate mateIn5 veryLong,https://lichess.org/ll2XEfIG/black#74,
4Wp6B,4r1k1/1b4p1/p3p1r1/1p1n3p/1P1BB3/P5Pq/4QP1P/4RRK1 w - - 6 28,e4g6 h3g2 g1g2 d5f4 g2g1 f4h3,2458,82,93,2761,attraction doubleCheck kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/OpcQpmsg#55,
4XBYm,5r2/pp2b2R/2p2r2/3ppbkR/8/2P1P3/PP1K1PP1/8 b - - 3 32,g5g4 h5h4 g4g5 f2f4 e5f4 e3f4 g5g6 h4h6,2485,78,92,1506,endgame mate mateIn4 veryLong,https://lichess.org/3MmfgRHR/black#64,
4ZbRx,r1b2rk1/p1p1pp1p/1p4pQ/3P2B1/3bN3/6P1/P3RPPK/5q2 b - - 3 23,d4f2 e4f6 e7f6 h6f8 g8f8 g5h6 f8g8 e2e8,2575,80,94,815,attraction kingsideAttack mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/HuT6q8Cf/black#46,
4dmnr,rn5r/ppp3Bp/1bbp1R2/6Pk/4R3/2P5/PP1N3P/7K b - - 4 22,h8g8 f6h6 h5g5 h2h4 g5f5 h6f6,2408,75,92,3734,long mate mateIn3 middlegame,https://lichess.org/OtkAjBxa/black#44,
4gfRq,r3r1k1/p4pp1/b1p4p/1pb5/3qN3/P2PR2Q/1PB2PPP/R1B3K1 w - - 3 19,e3g3 d4f2 e4f2 e8e1,2436,78,95,1241,kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/gX3A3O8W#37,Zukertort_Opening Zukertort_Opening_Black_Mustang_Defense
4rrbo,8/PR5P/1n6/1B3k2/1P1pp3/2P1K3/5p1r/8 w - - 0 52,c3d4 f2f1n b5f1 b6d5,2492,91,92,3510,advancedPawn endgame mate mateIn2 promotion short underPromotion,https://lichess.org/F4U0PlmI#103,
51Wyc,r5rk/pb1pR1pp/1pq2p2/3p4/6QB/5P2/PPP3PP/4R1K1 b - - 1 23,c6c2 g4g7 g8g7 e7e8 a8e8 e1e8 g7g8 h4f6,2560,82,93,2065,kingsideAttack mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/s0Ej3ivD/black#46,
535Ii,1R6/6pk/p6p/1b6/1N1R2P1/P1B1r1r1/1P4K1/8 w - - 2 49,g2f2 e3f3 f2e1 f3f1 e1d2 g3g2 d2e3 g2e2,2477,77,92,2347,exposedKing mate mateIn4 middlegame veryLong,https://lichess.org/tmuqMIXi#97,
538aI,2r5/p1r2qpk/1p3p1p/3N1P2/3Pn1Q1/6P1/PP5R/1K5R b - - 0 29,f7d5 h2h6 h7g8 h6h8 g8f7 g4g7 f7g7 h1h7,2465,73,94,5700,attraction mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/WPHyOujX/black#58,
57HDg,r6r/2pk1Pbp/p2pNq2/1p1P3B/8/2B3P1/PnP2P2/2K1Q2R b - - 1 23,f6c3 e6c5 c3c5 e1e6 d7d8 e6e8 h8e8 f7e8q,2453,75,93,1536,advancedPawn clearance mate mateIn4 middlegame promotion sacrifice veryLong,https://lichess.org/eq3Jtr0P/black#46,
59f4o,8/8/6Np/3R4/3P2n1/6k1/7r/4R1K1 w - - 1 35,e1c1 h2g2 g1f1 g4h2 f1e1 h2f3 e1d1 g2d2,2415,76,93,3730,endgame exposedKing mate mateIn4 veryLong,https://lichess.org/wjXrz8Vn#69,
5B3ut,rrk2b2/1q1n4/4N1Q1/2p1P2p/5P1P/2n3P1/P6R/K1R3B1 w - - 0 39,e6f8 a8a2 h2a2 b7b2 a2b2 b8a8 g6a6 a8a6 b2a2 a6a2,2520,91,94,9100,arabianMate mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/YbJE1bdw#77,
5BY6C,r5k1/1pp3pp/2nb1p2/pB1b4/3Pr3/P1B3Pq/1Q1N1P1P/R4RK1 w - - 0 21,b5c6 h3h2 g1h2 e4h4 h2g1 h4h1,2525,79,93,3955,attraction kingsideAttack long mate mateIn3 middlegame pin sacrifice,https://lichess.org/SygtgISi#41,
5CFck,8/p7/5K1k/np6/4B1P1/8/1p6/8 b - - 1 49,a5c4 e4g6 b5b4 g4g5,2533,79,94,1129,endgame mate mateIn2 quietMove short,https://lichess.org/72wTeslu/black#98,
5Njl7,4r3/6pk/3Q4/5rp1/3B2q1/5p2/P6R/5K2 b - - 5 54,h7g8 h2h8 g8f7 h8f8 e8f8 d6d7 f7g6 d7g7 g6h5 g7h7,2512,81,92,4395,endgame mate mateIn5 sacrifice veryLong,https://lichess.org/az4uHy5q/black#108,
5TqPW,r3nk1r/p1qn2p1/1p2RbBp/2p5/5P2/2N1B3/PPP2P1P/4R1K1 b - - 4 19,f6c3 e6e8 a8e8 e3c5 e8e7 e1e7 f8g8 e7e8 d7f8 e8f8,2654,94,93,1959,mate mateIn5 middlegame veryLong,https://lichess.org/OXjxhRFd/black#38,Zukertort_Opening Zukertort_Opening_Tennison_Gambit
5XNKb,r6r/1p1k1ppp/p2Bp3/q2pPn2/N7/1P1Q4/5PPP/R5K1 b - - 7 18,a5b5 d3b5 a6b5 a4b6 d7c6 a1c1 c6b6 d6c7 b6a7 c1a1,2604,84,94,944,fork mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/2EqradbB/black#36,French_Defense French_Defense_Advance_Variation
5axmh,r4rk1/p5pp/2pq4/3p4/Nb1Q4/7n/PPP1R1P1/R1B3K1 w - - 0 18,g2h3 d6g3 e2g2 f8f1 g1f1 g3e1,2496,82,93,3882,attraction exposedKing kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/qH86q7Or#35,Four_Knights_Game Four_Knights_Game_Scotch_Variation_Accepted
5b0Yf,2k3r1/5R2/PP1p4/2pN1p2/2PbPQ2/5n1r/6K1/R7 w - - 1 35,g2f1 g8g1 f1e2 g1g2 e2d1 h3h1,2432,75,93,4187,exposedKing long mate mateIn3 middlegame,https://lichess.org/KuEG4h6o#69,
5lKMN,r1b2k1r/2q5/p1pbp3/4Ppp1/6p1/3BB3/PP2QPP1/2RR2K1 w - - 0 22,e5d6 c7h7 f2f4 h7h1 g1f2 g4g3 f2g3 h1h4 g3f3 g5g4,2490,78,93,1875,attraction kingsideAttack master mate mateIn5 middlegame quietMove veryLong,https://lichess.org/BiwIG5eR#43,
5uBLO,5rk1/2p3p1/8/3b2P1/1P1P4/2P3RQ/q1r4P/4R1K1 b - - 2 37,f8f2 h3h8 g8h8 e1e8 f2f8 e8f8 h8h7 g5g6 h7h6 f8h8,2584,86,95,4809,attraction mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/kc6Eznhd/black#74,
